"index";"url";"title";"description";"domain";"creation_date";"primary";"secondary";"tertiary"
"1";"http://www.amallison.free-online.co.uk/";"Hate Your Job - Home";"An irreverant look at work including: rotten managers, subversive staff and jargon.  There is a serious message about stress, too.";"";"";"(254, 254, 239)";"(185, 182, 204)";"(130, 122, 122)"
"2";"https://www.ernst-huber.de/lohr/";"Die inoffizielle Homepage von Lohr am Main";"Lohr a. Main die Perle im Landkreis Main-Spessart";"";"";"(237, 237, 237)";"(177, 161, 181)";"(143, 92, 80)"
"3";"https://beno.uk/urbex/";"URBEX";"Photos of urban decay and derelict places";"beno.uk";"2019-07-01";"(252, 251, 252)";"(153, 151, 157)";"(56, 51, 59)"
"4";"https://www.lirc.org/";"LIRC - Linux Infrared Remote Control";"LIRC - linux infrared remote control";"";"";"(229, 229, 230)";"(3, 3, 129)";"(120, 120, 163)"
"5";"http://webarchive.me/geocities/SiliconValley/2484/";"Home Page";"";"webarchive.me";"2025-05-30";"(49, 49, 250)";"(42, 222, 48)";"(185, 180, 223)"
"6";"http://webarchive.me/geocities/SiliconValley/Garage/7148/";"PISS OFF";"";"webarchive.me";"2025-05-30";"(246, 244, 235)";"(153, 147, 130)";"(134, 134, 254)"
"7";"http://webarchive.me/geocities/Tokyo/Island/2702/";"Mike Lau: Trading, Japan, Asian Pen pals, and
Japanese pen pals";"Welcome to Mike Lau's homepage.  The site
is about Trading & Investing, about Japan, about making Asian (Japanese,
Korean, Chinese,..) pen pals.";"webarchive.me";"2025-05-30";"(254, 253, 253)";"(35, 60, 61)";"(157, 169, 180)"
"8";"https://whatsitsgalore.com/";"Whatsits Galore: Disney, Collectibles, TV Glitches for Geeks";"";"whatsitsgalore.com";"2005-01-02";"(253, 252, 252)";"(190, 146, 146)";"(236, 16, 16)"
"9";"http://totton.idirect.com/abacus/";"算盤 ABACUS: MYSTERY OF THE BEAD - Abacus instructions manual. Learn how to 
use abacus.";"";"totton.idirect.com";"1994-11-21";"(213, 213, 213)";"(96, 65, 50)";"(169, 133, 116)"
"10";"http://www.middleeast.com/baalbeck.htm";"Baalbeck";"";"middleeast.com";"1995-05-11";"(253, 252, 253)";"(162, 156, 182)";"(109, 77, 58)"
"11";"http://www.imitationpickles.org/ld487/";"The Hairy Chestival Game";"";"imitationpickles.org";"1999-01-09";"(253, 253, 253)";"(62, 7, 96)";"(159, 123, 125)"
"12";"https://www.sandiegoragtime.com/";"The Heliotrope Ragtime Orchestra San Diego, California 
";"";"sandiegoragtime.com";"2005-11-25";"(251, 251, 252)";"(174, 157, 167)";"(101, 56, 66)"
"13";"https://justinjackson.ca/webmaster/";"I'm a fucking webmaster";"I'm a fucking webmaster";"justinjackson.ca";"2007-12-24";"(254, 254, 254)";"(196, 196, 204)";"(148, 148, 148)"
"14";"https://www.tennmetroplex.com/";"The Tennessean METROPLEX";"";"tennmetroplex.com";"2009-10-26";"(31, 201, 254)";"(24, 133, 165)";"(182, 121, 121)"
"15";"https://portal.phreaknet.org/";"Home - PhreakNet";"";"portal.phreaknet.org";"2019-11-28";"(251, 249, 245)";"(211, 186, 143)";"(189, 125, 52)"
"16";"https://owrigami.com/index.htm";"Francis Ow's Origami - home page";"";"owrigami.com";"2014-02-18";"(246, 205, 205)";"(9, 9, 14)";"(194, 89, 87)"
"17";"https://www.poleshift.org/sublim/";"Subliminal Advertising";"Subliminal ad examples from magazines, dozens, from easy to advanced";"poleshift.org";"1997-12-15";"(249, 232, 212)";"(198, 168, 161)";"(127, 61, 55)"
"18";"https://jproc.ca/radiostor/reading.html";"Reading Room";"";"jproc.ca";"2005-01-01";"(206, 149, 93)";"(123, 91, 151)";"(119, 87, 55)"
"19";"https://www.scheul.de/";"Wonderful 2orld of Italo disco";"";"";"";"(173, 188, 210)";"(95, 93, 95)";"(241, 237, 225)"
